Tipo de gasto,Entidad,Apropiación a precios corrientes,Código de entidad,Código del sector,Sector
FUNCIONAMIENTO,Computadores para educar (cpe),27442872600.0,2311,23.0,Tecnologías de la información y las comunicaciones
INVERSIÓN,Computadores para educar (cpe),147562268400.0,2311,23.0,Tecnologías de la información y las comunicaciones
FUNCIONAMIENTO,Corporación agencia nacional de gobierno digital - and,5231290000.0,2312,23.0,Tecnologías de la información y las comunicaciones
INVERSIÓN,Corporación agencia nacional de gobierno digital - and,131722000296.0,2312,23.0,Tecnologías de la información y las comunicaciones
FUNCIONAMIENTO,Ministerio de transporte,315303412000.0,2401,24.0,Transporte
DEUDA,Ministerio de transporte,6797215826.0,2401,24.0,Transporte
INVERSIÓN,Ministerio de transporte,129575000000.0,2401,24.0,Transporte
FUNCIONAMIENTO,Instituto nacional de vías,220812175000.0,2402,24.0,Transporte
DEUDA,Instituto nacional de vías,601876014.0,2402,24.0,Transporte
INVERSIÓN,Instituto nacional de vías,3464357634368.0,2402,24.0,Transporte
FUNCIONAMIENTO,Unidad administrativa especial de la aeronáutica civil,837409834774.0,2412,24.0,Transporte
INVERSIÓN,Unidad administrativa especial de la aeronáutica civil,2283951000000.0,2412,24.0,Transporte
FUNCIONAMIENTO,Agencia nacional de infraestructura,134319232110.0,2413,24.0,Transporte
DEUDA,Agencia nacional de infraestructura,2013839757091.0,2413,24.0,Transporte
INVERSIÓN,Agencia nacional de infraestructura,7382206818592.0,2413,24.0,Transporte
FUNCIONAMIENTO,Unidad de planeación del sector de infraestructura de transporte,18098365000.0,2414,24.0,Transporte
INVERSIÓN,Unidad de planeación del sector de infraestructura de transporte,16500000000.0,2414,24.0,Transporte
FUNCIONAMIENTO,Comisión de regulación de infraestructura y transporte,1407199000.0,2415,24.0,Transporte
FUNCIONAMIENTO,Agencia nacional de seguridad vial,29644186000.0,2416,24.0,Transporte
INVERSIÓN,Agencia nacional de seguridad vial,174455608437.0,2416,24.0,Transporte
