Año,Sector,Código de sector,Entidad,Código de entidad,Apropiación a precios corrientes,Tipo de gasto,Indice_base_2025,Apropiación a precios constantes (2025)
2013,Tecnologías de la información y las comunicaciones,23.0,Ministerio de tecnologías de la información y las comunicaciones,2301,64534400000.0,Funcionamiento,53.46505625304829,120703884972.19731
2013,Tecnologías de la información y las comunicaciones,23.0,Ministerio de tecnologías de la información y las comunicaciones,2301,8550000000.0,Inversión,53.46505625304829,15991753491.351698
2013,Tecnologías de la información y las comunicaciones,23.0,Fondo único de tecnologías de la información y las comunicaciones,2306,346709700000.0,Funcionamiento,53.46505625304829,648479070814.0935
2013,Tecnologías de la información y las comunicaciones,23.0,Fondo único de tecnologías de la información y las comunicaciones,2306,993315800000.0,Inversión,53.46505625304829,1857878527797.0532
2013,Tecnologías de la información y las comunicaciones,23.0,Agencia nacional del espectro - ane,2309,9664000000.0,Funcionamiento,53.46505625304829,18075357396.54068
2013,Tecnologías de la información y las comunicaciones,23.0,Agencia nacional del espectro - ane,2309,18500000000.0,Inversión,53.46505625304829,34602039718.12941
2013,Transporte,24.0,Ministerio de transporte,2401,101182300000.0,Funcionamiento,53.46505625304829,189249403425.4965
2013,Transporte,24.0,Ministerio de transporte,2401,141894300000.0,Inversión,53.46505625304829,265396335371.68484
2013,Transporte,24.0,Instituto nacional de vías,2402,118498600000.0,Funcionamiento,53.46505625304829,221637473715.8232
2013,Transporte,24.0,Instituto nacional de vías,2402,59180100000.0,Deuda,53.46505625304829,110689306525.56055
2013,Transporte,24.0,Instituto nacional de vías,2402,3764202787083.0,Inversión,53.46505625304829,7040491586256.183
2013,Transporte,24.0,Unidad administrativa especial de la aeronáutica civil,2412,251504300000.0,Funcionamiento,53.46505625304829,470408744750.2883
2013,Transporte,24.0,Unidad administrativa especial de la aeronáutica civil,2412,1212600000.0,Deuda,53.46505625304829,2268023424.983985
2013,Transporte,24.0,Unidad administrativa especial de la aeronáutica civil,2412,454754397562.0,Inversión,53.46505625304829,850563768996.4506
2013,Transporte,24.0,Agencia nacional de infraestructura,2413,79156720000.0,Funcionamiento,53.46505625304829,148053187534.96478
2013,Transporte,24.0,Agencia nacional de infraestructura,2413,296770295000.0,Deuda,53.46505625304829,555073380256.8098
2013,Transporte,24.0,Agencia nacional de infraestructura,2413,2818364111869.0,Inversión,53.46505625304829,5271413348056.306
2013,Organismos de control,25.0,Procuraduría general de la nación,2501,426007000000.0,Funcionamiento,53.46505625304829,796795196443.3057
2013,Organismos de control,25.0,Procuraduría general de la nación,2501,34352000000.0,Inversión,53.46505625304829,64251311805.253044
2013,Organismos de control,25.0,Defensoría del pueblo,2502,302406000000.0,Funcionamiento,53.46505625304829,565614293135.1698
2013,Organismos de control,25.0,Defensoría del pueblo,2502,15382000000.0,Inversión,53.46505625304829,28770193240.23062
2013,Organismos de control,25.0,Contraloría general de la república,2601,386614000000.0,Funcionamiento,53.46505625304829,723115296409.9937
2013,Organismos de control,25.0,Contraloría general de la república,2601,70071000000.0,Inversión,53.46505625304829,131059433788.59706
2013,Organismos de control,25.0,Fondo de bienestar social de la contraloría general de la república,2602,52864000000.0,Funcionamiento,53.46505625304829,98875796089.68611
2013,Organismos de control,25.0,Fondo de bienestar social de la contraloría general de la república,2602,6200000000.0,Inversión,53.46505625304829,11596359256.886612
2013,Rama judicial,27.0,Rama judicial,2701,2342136081106.0,Funcionamiento,53.46505625304829,4380685713713.177
2013,Rama judicial,27.0,Rama judicial,2701,331910058937.0,Inversión,53.46505625304829,620798110388.3646
2013,Registraduría,28.0,Registraduría nacional del estado civil,2801,345766000000.0,Funcionamiento,53.46505625304829,646713992712.3639
2013,Registraduría,28.0,Registraduría nacional del estado civil,2801,46489944685.0,Inversión,53.46505625304829,86953887161.29779
2013,Registraduría,28.0,Fondo rotatorio de la registraduría,2802,16878000000.0,Funcionamiento,53.46505625304829,31568282506.085846
2013,Registraduría,28.0,Fondo rotatorio de la registraduría,2802,29459000000.0,Inversión,53.46505625304829,55099539894.93915
2013,Registraduría,28.0,Fondo social de vivienda de la registraduría nacional del estado civil,2803,9513000000.0,Funcionamiento,53.46505625304829,17792929937.21973
2013,Fiscalía,29.0,Fiscalía general de la nación,2901,1905322069125.0,Funcionamiento,53.46505625304829,3563677292523.8784
2013,Fiscalía,29.0,Fiscalía general de la nación,2901,143935072868.0,Inversión,53.46505625304829,269213357200.56143
2013,Fiscalía,29.0,Instituto nacional de medicina legal y ciencias forenses,2902,136805310246.0,Funcionamiento,53.46505625304829,255877988042.33014
2013,Fiscalía,29.0,Instituto nacional de medicina legal y ciencias forenses,2902,36330000000.0,Inversión,53.46505625304829,67950924484.30494
2013,Ambiente y desarrollo sostenible,32.0,Ministerio de ambiente y desarrollo sostenible,3201,133450392000.0,Funcionamiento,53.46505625304829,249603014291.0237
2013,Ambiente y desarrollo sostenible,32.0,Ministerio de ambiente y desarrollo sostenible,3201,140576000000.0,Inversión,53.46505625304829,262930612725.17618
2013,Ambiente y desarrollo sostenible,32.0,"Instituto de hidrología, meteorología y estudios ambientales - ideam",3202,38264100000.0,Funcionamiento,53.46505625304829,71568427458.29597
2013,Ambiente y desarrollo sostenible,32.0,"Instituto de hidrología, meteorología y estudios ambientales - ideam",3202,22550000000.0,Inversión,53.46505625304829,42177080845.611786
2013,Ambiente y desarrollo sostenible,32.0,Fondo nacional ambiental,3204,19735290000.0,Funcionamiento,53.46505625304829,36912502077.232544
2013,Ambiente y desarrollo sostenible,32.0,Fondo nacional ambiental,3204,35760000000.0,Inversión,53.46505625304829,66884807584.88149
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional de los valles del sinú y san jorge (cvs),3208,2351270000.0,Funcionamiento,53.46505625304829,4397769617.7322235
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional del quindío (crq),3209,3930300000.0,Funcionamiento,53.46505625304829,7351156578.603459
2013,Ambiente y desarrollo sostenible,32.0,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,2618525000.0,Funcionamiento,53.46505625304829,4897638165.022422
2013,Ambiente y desarrollo sostenible,32.0,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,1000000000.0,Inversión,53.46505625304829,1870380525.3042922
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional de caldas (corpocaldas),3211,2662415000.0,Funcionamiento,53.46505625304829,4979729166.278028
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,1467200000.0,Funcionamiento,53.46505625304829,2744222306.7264576
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,657000000.0,Inversión,53.46505625304829,1228840005.12492
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional del tolima (cortolima),3214,1506500000.0,Funcionamiento,53.46505625304829,2817728261.3709164
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional de risaralda (carder),3215,1914693000.0,Funcionamiento,53.46505625304829,3581204499.1364512
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional de nariño (corponariño),3216,1831900000.0,Funcionamiento,53.46505625304829,3426350084.304933
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional de la frontera nororiental (corponor),3217,2620340000.0,Funcionamiento,53.46505625304829,4901032905.675849
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional de la guajira (corpoguajira),3218,2782340000.0,Funcionamiento,53.46505625304829,5204034550.775145
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional del cesar (corpocesar),3219,2064166000.0,Funcionamiento,53.46505625304829,3860775887.39526
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional del cauca (crc),3221,5063400000.0,Funcionamiento,53.46505625304829,9470484751.825754
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional del magdalena (corpamag),3222,3463235000.0,Funcionamiento,53.46505625304829,6477567298.552211
2013,Ambiente y desarrollo sostenible,32.0,Corporación autónoma regional del magdalena (corpamag),3222,17000000000.0,Inversión,53.46505625304829,31796468930.172966
2013,Ambiente y desarrollo sostenible,32.0,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),3223,1732200000.0,Funcionamiento,53.46505625304829,3239873145.932095
2013,Ambiente y desarrollo sostenible,32.0,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),3223,250000000.0,Inversión,53.46505625304829,467595131.32607305
2013,Ambiente y desarrollo sostenible,32.0,Corporación para el desarrollo sostenible del norte y oriente de la amazonia (cda),3224,1710100000.0,Funcionamiento,53.46505625304829,3198537736.3228703
2013,Ambiente y desarrollo sostenible,32.0,Corporación para el desarrollo sostenible del norte y oriente de la amazonia (cda),3224,450000000.0,Inversión,53.46505625304829,841671236.3869315
2013,Ambiente y desarrollo sostenible,32.0,"Corporación para el desarrollo sostenible del archipiélago de san andrés, providencia y santa catalina (coralina)",3226,1679900000.0,Funcionamiento,53.46505625304829,3142052244.4586806
2013,Ambiente y desarrollo sostenible,32.0,"Corporación para el desarrollo sostenible del archipiélago de san andrés, providencia y santa catalina (coralina)",3226,1200000000.0,Inversión,53.46505625304829,2244456630.3651505
